Institute,Program,Quota,Category,Gender,Opening Rank,Closing Rank,Closed_In_Round,Institute_Type
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",All India,EWS,Gender-Neutral,1057006,1057006,3,GFTI
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",All India,OBC-NCL,Female-only (including Supernumerary),773714,773714,3,GFTI
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",All India,OBC-NCL,Gender-Neutral,978969,978969,3,GFTI
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",All India,OPEN,Female-only (including Supernumerary),132071,132071,1,GFTI
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",All India,OPEN,Gender-Neutral,330525,466849,3,GFTI
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",All India,SC,Female-only (including Supernumerary),522566,522566,3,GFTI
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",All India,SC,Gender-Neutral,468153,649441,3,GFTI
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",All India,ST,Gender-Neutral,766122,917557,2,GFTI
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",Home State,EWS,Gender-Neutral,1232558,1232558,2,GFTI
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",Home State,OBC-NCL,Female-only (including Supernumerary),689007,689007,1,GFTI
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",Home State,OPEN,Female-only (including Supernumerary),513668,513668,3,GFTI
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,894611,1320868,3,GFTI
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",Home State,SC,Female-only (including Supernumerary),1009288,1009288,2,GFTI
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",Home State,SC,Gender-Neutral,1320868,1320868,2,GFTI
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",Home State,ST,Gender-Neutral,562255,574774,1,GFTI
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,EWS,Gender-Neutral,133137,143555,3,GFTI
