Institute,Program,Quota,Category,Gender,Opening Rank,Closing Rank
"A.N.A.College Of Engineering & Management,Bareilly",Civil Engineering,All India,OPEN,Gender-Neutral,2112756,2112756
"A.N.A.College Of Engineering & Management,Bareilly",Computer Science and Engineering,All India,OPEN,Gender-Neutral,2101391,2120841
"A.N.A.College Of Engineering & Management,Bareilly",Computer Science and Engineering,Home State,OPEN,Female-only (including Supernumerary),629525,629525
"A.N.A.College Of Engineering & Management,Bareilly",Computer Science and Engineering,Home State,OPEN,Gender-Neutral,244556,1020711
"A.N.A.College Of Engineering & Management,Bareilly",Information Technology,Home State,OPEN,Gender-Neutral,414149,414149
"Abes Engg.College,Ghaziabad",Computer Science And Engineering(Artificial Intelligence & Machine Learning),All India,OPEN,Gender-Neutral,65947,175184
"Abes Engg.College,Ghaziabad",Computer Science And Engineering(Artificial Intelligence & Machine Learning),Home State,EWS,Female-only (including Supernumerary),368749,397364
"Abes Engg.College,Ghaziabad",Computer Science And Engineering(Artificial Intelligence & Machine Learning),Home State,EWS,Gender-Neutral,516512,542121
"Abes Engg.College,Ghaziabad",Computer Science And Engineering(Artificial Intelligence & Machine Learning),Home State,OBC-NCL,Female-only (including Supernumerary),500564,500564
"Abes Engg.College,Ghaziabad",Computer Science And Engineering(Artificial Intelligence & Machine Learning),Home State,OBC-NCL,Gender-Neutral,562131,637363
"Abes Engg.College,Ghaziabad",Computer Science And Engineering(Artificial Intelligence & Machine Learning),Home State,OPEN,Female-only (including Supernumerary),223486,320896
"Abes Engg.College,Ghaziabad",Computer Science And Engineering(Artificial Intelligence & Machine Learning),Home State,OPEN,Gender-Neutral,679596,761873
"Abes Engg.College,Ghaziabad",Computer Science And Engineering(Artificial Intelligence & Machine Learning),Home State,SC,Female-only (including Supernumerary),329038,798313
"Abes Engg.College,Ghaziabad",Computer Science And Engineering(Artificial Intelligence & Machine Learning),Home State,SC,Gender-Neutral,737339,1306035
"Abes Engg.College,Ghaziabad",Computer Science And Engineering(Artificial Intelligence & Machine Learning),Home State,ST,Gender-Neutral,1256434,1256434
